research_field,topic_label,topic_words
Energy Management,Energy Storage Optimization,"storage, battery, optimization, capacity, scheduling"
Energy Management,Building Energy Efficiency,"building, efficiency, hvac, lighting, insulation"
Energy Management,Energy Performance Analysis,"audits, monitoring, consumption, analysis, baseline"
Energy Management,Microgrid Design & Resilience,"microgrids, resilience, decentralized, reliability, islanding"
Home Energy Optimization,Smart Thermostat Control,"smart, thermostat, hvac, scheduling, control"
Home Energy Optimization,Intelligent Load Management,"load, shifting, appliances, storage, management"
Home Energy Optimization,Home Renewable Energy Systems,"photovoltaic, solar, battery, generation, microgrid"
Home Energy Optimization,Building Envelope Efficiency,"insulation, air, sealing, envelope, efficiency"
Home Energy Optimization,Occupant Behavior and Energy,"behavior, occupancy, awareness, feedback, user"
Home Energy Optimization,Smart Lighting Optimization,"lighting, led, fixtures, dimming, automation"
Advanced materials,Nanomaterials and Synthesis,"nanoparticles, graphene, carbon, synthesis, functionalization"
Advanced materials,Composite Materials Mechanics,"polymer, composite, matrix, fiber, strength"
Advanced materials,Ceramic Processing and Structure,"ceramic, oxide, sintering, structural, porosity"
Advanced materials,Electronic Materials Design,"electronic, semiconductor, device, fabrication, transistor"
Advanced materials,Energy Storage Materials,"battery, storage, electrode, electrolyte, cathode"
Advanced materials,Biomaterials for Tissue Engineering,"scaffold, tissue, regeneration, biocompatibility, implant"
Advanced materials,Computational Materials Science,"computational, modeling, simulation, molecular, density"
composites,Fiber-Matrix Interfacial Science,"fiber, matrix, interfacial, reinforcement, polymer"
composites,Composite Mechanical Properties,"mechanical, tensile, strength, modulus, failure"
composites,Nanocomposite Materials & Fillers,"nanocomposites, carbon, cnts, graphene, filler"
composites,Composite Processing & Manufacturing,"processing, fabrication, curing, laminate, molding"
composites,Damage and Failure Analysis,"damage, fracture, delamination, fatigue, cracking"
composites,Sustainable & Bio-Composites,"bio, natural, recycling, sustainable, cellulose"
materials for solar energy,Perovskite Solar Cells Research,"perovskite, stability, efficiency, structure, halide"
materials for solar energy,Crystalline Silicon PV Technology,"silicon, crystalline, photovoltaic, wafer, cell"
materials for solar energy,Organic Photovoltaic Materials,"polymer, organic, flexible, thin-film, absorber"
materials for solar energy,Compound Semiconductor Thin-Films,"cadmium, telluride, copper, indium, selenide"
Materials for Biomedical Applications,Tissue Engineering Scaffolds,"scaffold, tissue, engineering, regeneration, porosity"
Materials for Biomedical Applications,Controlled Drug Delivery Systems,"drug, delivery, release, controlled, nanoparticle"
Materials for Biomedical Applications,Biomaterial Biocompatibility Assessment,"biocompatibility, host, response, cytotoxicity, surface"
Materials for Biomedical Applications,Orthopedic and Dental Implants,"implant, orthopedic, dental, metallic, ceramic"
Materials for Biomedical Applications,Polymeric Biomaterials,"hydrogel, polymer, alginate, chitosan, biodegradable"
Materials for Biomedical Applications,Biomaterial-based Diagnostics,"biosensor, detection, diagnostic, electrode, sensing"
Materials for Biomedical Applications,Biomaterial Surface Engineering,"surface, modification, coating, functionalization, roughness"
Effect of Processing of Material Properties,Microstructure and Thermal Processing,"microstructure, grain, thermal, phase, kinetics"
Effect of Processing of Material Properties,Processing Influence on Mechanical Properties,"strength, ductility, hardness, fatigue, mechanical"
Effect of Processing of Material Properties,Casting Process Effects,"casting, solidification, fluidity, molding, defects"
Effect of Processing of Material Properties,Metal Forming and Strain Hardening,"forging, rolling, deformation, strain, hardening"
Effect of Processing of Material Properties,Welding and Joining Effects,"welding, residual, stress, distortion, joining"
Effect of Processing of Material Properties,Heat Treatment Processes,"heat, treatment, annealing, quenching, tempering"
Effect of Processing of Material Properties,Additive Manufacturing Parameters,"additive, density, porosity, layer, printing"
materials for solar energy,Perovskite Solar Cell Research,"perovskite, stability, efficiency, degradation, tandem"
materials for solar energy,Crystalline Silicon Materials,"silicon, crystalline, photovoltaic, wafer, junction"
materials for solar energy,Thin-Film Solar Technologies,"thinfilm, amorphous, organic, flexible, deposition"
materials for solar energy,Charge Transport Materials,"charge, transport, layers, extraction, interface"
materials for solar energy,Scalable Material Fabrication,"fabrication, processing, scalable, printing, manufacturing"
materials for solar energy,Solar Material Properties,"absorption, spectrum, bandgap, semiconductor, photons"
materials for solar energy,Material Stability and Reliability,"durability, thermal, moisture, encapsulation, reliability"
Renewable energy,Solar Photovoltaic Energy Systems,"solar, photovoltaic, energy, panel, conversion"
Renewable energy,Wind Energy Conversion Systems,"wind, turbine, farm, power, rotor"
Renewable energy,Sustainable Bioenergy and Biofuels,"bioenergy, biomass, biofuel, sustainable, feedstock"
Renewable energy,Geothermal Energy Resource Extraction,"geothermal, heat, earth, resource, drilling"
Renewable energy,Hydrogen Fuel Cell Technology,"hydrogen, fuel, cell, electrolysis, storage"
Renewable energy,Smart Grid Energy Integration,"grid, smart, storage, integration, optimization"
Renewable energy,Marine Hydrokinetic Energy,"tidal, wave, ocean, hydrokinetic, marine"
solar energy,Photovoltaic Cell Technologies,"photovoltaic, panels, efficiency, silicon, cells"
solar energy,Concentrating Solar Power Systems,"concentrating, thermal, storage, mirror, heat"
solar energy,Solar Grid Integration,"grid, integration, inverter, modeling, stability"
solar energy,Solar Energy Storage,"molten, salt, thermal, duration, battery"
solar energy,Solar Technology Economics,"manufacturing, cost, lifetime, reliability, commercialization"
Computational fluid dynamics,CFD Governing Equations,"navier, stokes, equations, conservation, momentum"
Computational fluid dynamics,Numerical Discretization Methods,"finite, volume, element, difference, discretization"
Computational fluid dynamics,Aerodynamic Flow Analysis,"aerodynamics, aerospace, hypersonics, lift, drag"
Computational fluid dynamics,Fluid Heat Transfer,"heat, transfer, convection, conduction, radiation"
Control Theory,Classical System Analysis,"stability, poles, zeros, feedback, response"
Control Theory,Model Predictive Control,"model, optimization, constraints, receding, horizon"
Control Theory,Nonlinear Control Systems,"nonlinear, lyapunov, feedback, geometric, input-output"
Control Theory,Multi-Agent Networked Control,"multi-agent, networked, consensus, distributed, cooperative"
Control Theory,Optimal Control Theory,"optimal, cost, minimization, dynamic, calculus"
Control Theory,Stochastic Control and Filtering,"stochastic, kalman, noise, probability, uncertainty"
Embedded Systems,Real-Time Operating Systems,"real-time, scheduling, rtos, deadlines, latency"
Embedded Systems,Microcontroller Firmware Development,"microcontroller, firmware, hardware, peripheral, programming"
Embedded Systems,Low-Power Embedded Design,"low-power, energy, battery, optimization, efficiency"
Embedded Systems,Sensor and Actuator Interfacing,"sensors, actuators, interface, control, i/o"
Embedded Systems,Embedded System Security,"security, trust, cryptography, protection, tamper"
Embedded Systems,IoT and Wireless Communication,"iot, wireless, communication, network, connectivity"
Embedded Systems,Embedded System Verification,"verification, testing, debugging, model, validation"
Autonomous Systems,Safe Autonomous Systems,"safety, verification, validation, resilience, certification"
Autonomous Systems,AI for Autonomous Control,"deep, learning, reinforcement, neural, decision"
Autonomous Systems,Perception and Localization,"sensor, fusion, localization, mapping, estimation"
Autonomous Systems,Robot Locomotion and Dynamics,"bipedal, legged, locomotion, kinematics, dynamics"
Autonomous Systems,Multi-Agent Systems,"multi-agent, swarm, coordination, decentralized, communication"
Autonomous Systems,Human-Robot Interaction,"human, interaction, collaboration, trust, interface"
Control Systems,Linear Control System Stability,"linear, system, lmi, lyapunov, stability"
Control Systems,Model Predictive Control,"model, predictive, optimization, constraint, horizon"
Control Systems,Advanced Nonlinear Control,"nonlinear, robust, feedback, backstepping, adaptive"
Control Systems,Fault Detection and Diagnosis,"fault, detection, isolation, diagnosis, tolerance"
Control Systems,Autonomous Systems Control,"autonomous, systems, robotics, coordination, path"
Control Systems,Embedded Control System,"embedded, real-time, microcontroller, hardware, software"
Control Systems,AI in Control Systems,"artificial, learning, neural, fuzzy, data-driven"
Embedded Systems,Real-Time Operating Systems,"rtos, scheduling, real-time, os, priority"
Embedded Systems,Microcontroller Programming & Hardware,"microcontroller, peripheral, programming, assembly, hardware"
Embedded Systems,IoT Sensor Integration,"iot, sensors, connectivity, gateway, cloud"
Embedded Systems,FPGA and ASIC Design,"fpga, vhdl, verilog, logic, asic"
Embedded Systems,Energy-Efficient Embedded Design,"low-power, energy, management, battery, optimization"
Embedded Systems,Embedded System Security,"security, firmware, cryptography, tamper, trustzone"
Embedded Systems,Embedded Communication Protocols,"communication, protocol, spi, i2c, uart"
Robotics and Automation,Robot Motion and Control,"manipulator, kinematics, dynamics, trajectory, control"
Robotics and Automation,Robot Perception and Navigation,"sensor, perception, mapping, localization, navigation"
Robotics and Automation,Robotic Grasping and Manipulation,"gripping, force, tactile, dexterity, end-effector"
Robotics and Automation,Humanoid Robot Locomotion,"humanoid, bipedal, gait, balance, walking"
Robotics and Automation,Multi-Robot Systems and Swarms,"swarm, multi-robot, cooperation, communication, formation"
Robotics and Automation,Robot Learning and Adaptation,"machine, learning, reinforcement, imitation, adaptive"
Robotics and Automation,Industrial Robotics and Manufacturing,"industrial, manufacturing, assembly, welding, inspection"
Architecture and Urban Design,Sustainable Building Performance,"sustainable, energy, efficiency, green, performance"
Architecture and Urban Design,Public Space Urbanism,"public, space, urban, design, placemaking"
Architecture and Urban Design,Historic Preservation & Conservation,"historical, preservation, heritage, conservation, adaptive"
Architecture and Urban Design,Smart City Technology,"smart, city, technology, data, infrastructure"
Architecture and Urban Design,Residential Planning & Housing,"housing, density, affordability, community, residential"
Architecture and Urban Design,Parametric Design & Fabrication,"parametric, form, digital, fabrication, geometry"
Architecture and Urban Design,Climate Resilience and Planning,"resilience, climate, adaptation, disaster, vulnerability"
Sustainable Construction Materials and Techniques,Recycled Aggregate Concrete,"recycled, waste, aggregate, concrete, circular"
Sustainable Construction Materials and Techniques,Geopolymer Cementitious Binders,"geopolymer, cement, binder, alkali, activation"
Sustainable Construction Materials and Techniques,Bio-Based Building Materials,"bamboo, timber, bio-based, natural, renewable"
Sustainable Construction Materials and Techniques,Embodied Carbon Assessment,"life, cycle, assessment, embodied, carbon"
Sustainable Construction Materials and Techniques,Thermal Insulation Optimization,"thermal, insulation, energy, efficiency, envelope"
Sustainable Construction Materials and Techniques,3D Printed Construction Materials,"additive, manufacturing, 3d, printing, construction"
"Urban Planning, Waterfronts, and Public Spaces",Waterfront Gentrification and Equity,"gentrification, displacement, equity, social, revitalization"
"Urban Planning, Waterfronts, and Public Spaces",Public Space Design and Access,"access, usability, design, inclusivity, experience"
"Urban Planning, Waterfronts, and Public Spaces",Climate Resilience in Waterfronts,"climate, sea, flood, resilience, adaptation"
"Urban Planning, Waterfronts, and Public Spaces",Waterfront Ecological Restoration,"ecology, habitat, biodiversity, restoration, sustainability"
"Urban Planning, Waterfronts, and Public Spaces",Urban Mobility and Connectivity,"transportation, mobility, connectivity, transit, infrastructure"
"Urban Planning, Waterfronts, and Public Spaces",Public Space Community Governance,"community, participation, engagement, governance, stakeholder"
"Urban Planning, Waterfronts, and Public Spaces",Post-Industrial Waterfront Redevelopment,"historic, heritage, preservation, industrial, post-industrial"
"Cardiovascular & Metabolic Disorders (Atherosclerosis, MI, Diabetes, Hypercholesterolemia)",Atherosclerotic Plaque Development,"atherosclerosis, plaque, inflammation, vessel, lipids"
Retinoid Metabolism & Vitamin A Biochemistry,Retinoic Acid Signaling,"rar, rxr, receptor, gene, transcription"
Retinoid Metabolism & Vitamin A Biochemistry,Retinoic Acid Catabolism,"cyp26, catabolism, oxidation, degradation, inactivation"
Medicinal Chemistry / Drug Design,Drug Target Mechanisms,"target, molecular, mechanism, binding, receptors"
Medicinal Chemistry / Drug Design,Structure-Activity Relationship Design,"design, structure, optimization, lead, activity"
Medicinal Chemistry / Drug Design,Computer-Aided Drug Design,"docking, modeling, virtual, cadd, chemoinformatics"
Medicinal Chemistry / Drug Design,Natural Products Drug Discovery,"natural, products, discovery, biosynthesis, extracts"
Medicinal Chemistry / Drug Design,Drug ADMET Properties,"absorption, metabolism, pharmacology, toxicology, efficacy"
Medicinal Chemistry / Drug Design,Drug Delivery Systems,"formulation, delivery, nanoparticles, targeting, controlled"
Anticancer Drug Discovery,Molecular Mechanism and Targeting,"molecular, target, mechanism, inhibition, pathway"
Anticancer Drug Discovery,High-Throughput Drug Screening,"screening, high-throughput, compound, library, assay"
Anticancer Drug Discovery,Natural Product Drug Discovery,"natural, product, alkaloids, flavonoids, plant"
Anticancer Drug Discovery,Overcoming Chemoresistance in Cancer,"chemotherapy, resistance, overcoming, multidrug, sensitization"
Anticancer Drug Discovery,Computational Drug Design (CADD),"drug, design, computational, cadd, modeling"
Anticancer Drug Discovery,Cancer Immunotherapy Development,"immunotherapy, checkpoint, car-t, t-cell, cancer"
Anticancer Drug Discovery,Clinical Trials and Efficacy,"clinical, trial, phase, toxicity, efficacy"
Anti-inflammatory and Analgesic Drug Development,Anti-inflammatory Target Identification,"inflammation, cytokines, inhibitors, cox-2, targets"
Anti-inflammatory and Analgesic Drug Development,NSAID Hybrid Drug Design,"nsaid, gastrotoxicity, prodrug, hybrid, molecular"
Anti-inflammatory and Analgesic Drug Development,Drug Candidate Screening,"assay, screening, activity, vivo, vitro"
Anti-inflammatory and Analgesic Drug Development,Pharmacokinetic Profiling,"pharmacokinetics, absorption, metabolism, excretion, distribution"
Anti-inflammatory and Analgesic Drug Development,Drug Safety and Toxicology,"toxin, safety, adverse, risk, preclinical"
Anti-inflammatory and Analgesic Drug Development,Natural Compound Drug Discovery,"natural, extracts, compounds, medicinal, herbal"
Pharmacogenomics,Genetic Drug Response Variation,"genes, response, drug, metabolism, variant"
Pharmacogenomics,CYP450 Metabolism and Drug Fate,"cyp450, enzyme, pharmacokinetics, efficacy, toxicity"
Pharmacogenomics,Pharmacogenetic Biomarker Identification,"biomarker, adverse, reaction, genotyping, allele"
Pharmacogenomics,Pharmacogenomics in Cancer Treatment,"oncology, cancer, chemotherapy, personalized, treatment"
Pharmacogenomics,Genome-Wide Association Studies,"gwas, association, phenotype, population, study"
Pharmacogenomics,Psychiatric Drug Pharmacogenomics,"antidepressant, psychiatry, mental, health, efficacy"
MicroRNA Biomarkers & Molecular Diagnostics,miRNA Diagnostics and Detection,"microrna, biomarker, diagnosis, disease, detection"
MicroRNA Biomarkers & Molecular Diagnostics,Circulating miRNA Isolation & Analysis,"circulating, plasma, serum, noncoding, exosomes"
MicroRNA Biomarkers & Molecular Diagnostics,miRNA Molecular Assay Development,"molecular, assay, pcr, sequencing, quantification"
MicroRNA Biomarkers & Molecular Diagnostics,Oncology/Cancer,"cancer, oncology, prognosis, metastasis, therapeutic"
MicroRNA Biomarkers & Molecular Diagnostics,miRNA Expression Profiling,"profiling, signature, expression, regulation, target"
MicroRNA Biomarkers & Molecular Diagnostics,Clinical Biomarker Validation,"validation, clinical, sensitivity, specificity, predictive"
Clinical Pharmacology & Drug Response in Chronic Diseases,Drug Pharmacokinetics in Chronic Disease,"pharmacokinetics, absorption, distribution, metabolism, elimination"
Clinical Pharmacology & Drug Response in Chronic Diseases,Pharmacogenomics of Drug Response,"pharmacogenomics, genotype, phenotype, polymorphism, individualization"
Clinical Pharmacology & Drug Response in Chronic Diseases,Drug Safety and Adverse Events,"drug, adverse, events, safety, monitoring"
Clinical Pharmacology & Drug Response in Chronic Diseases,Medication Adherence and Patient Outcomes,"adherence, compliance, efficacy, patient, outcomes"
Clinical Pharmacology & Drug Response in Chronic Diseases,Polypharmacy in Multiple Chronic Conditions,"multiple, morbidity, polypharmacy, interactions, management"
Clinical Pharmacology & Drug Response in Chronic Diseases,Biomarker-Guided Drug Optimization,"biomarkers, therapeutic, monitoring, dosage, optimization"
Clinical Pharmacology & Drug Response in Chronic Diseases,Pharmacology in Specific Chronic Diseases,"cardiovascular, diabetes, copd, alzheimer's, inflammation"
Pharmacovigilance & Drug Safety Monitoring,Adverse Event Reporting,"adverse, event, reaction, monitoring, safety"
Pharmacovigilance & Drug Safety Monitoring,Drug Safety Signal Detection,"signal, detection, mining, data, disproportionality"
Pharmacovigilance & Drug Safety Monitoring,Individual Case Safety Reports,"icsr, case, report, management, individual"
Pharmacovigilance & Drug Safety Monitoring,Risk Management & Evaluation,"risk, management, plan, minimisation, evaluation"
Pharmacovigilance & Drug Safety Monitoring,Drug Causality Assessment,"causality, assessment, pharmacology, algorithm, relationship"
Pharmacovigilance & Drug Safety Monitoring,Regulatory Compliance & Policy,"regulatory, compliance, policy, guidelines, inspection"
Pharmacovigilance & Drug Safety Monitoring,Pharmacoepidemiology Studies,"pharmacoepidemiology, studies, database, population, post-marketing"
Oncology Pharmacogenetics & Drug Toxicity,Drug Metabolism Genetics,"cytochrome, metabolism, enzyme, genotype, phenotype"
Oncology Pharmacogenetics & Drug Toxicity,Chemotherapy Toxicity Risk,"toxicity, adverse, reaction, germline, risk"
Oncology Pharmacogenetics & Drug Toxicity,Predictive Biomarkers for Therapy,"biomarker, response, therapy, targeted, efficacy"
Oncology Pharmacogenetics & Drug Toxicity,Somatic Mutations in Cancer,"mutation, somatic, tumor, resistance, cancer"
Oncology Pharmacogenetics & Drug Toxicity,Single Nucleotide Polymorphisms,"polymorphism, snp, alleles, variant, dna"
Oncology Pharmacogenetics & Drug Toxicity,Individualized Cancer Dosing,"dosing, individualized, precision, algorithm, treatment"
Analytical Chemistry & Separation Science,Advanced Chromatographic Techniques,"chromatography, liquid, gas, separation, detector"
Analytical Chemistry & Separation Science,Mass Spectrometry Analysis,"mass, spectrometry, ionization, fragmentation, quantification"
Analytical Chemistry & Separation Science,Sample Preparation Methods,"sample, preparation, extraction, cleanup, matrix"
Analytical Chemistry & Separation Science,Electrochemical Sensing,"electrochemistry, voltammetry, sensor, potential, current"
Analytical Chemistry & Separation Science,Molecular Spectroscopy,"spectroscopy, absorption, emission, fluorescence, detection"
Analytical Chemistry & Separation Science,Capillary & Microfluidic Separation,"capillary, electrophoresis, microfluidic, separation, chip"
Analytical Chemistry & Separation Science,Analytical Method Validation,"calibration, validation, accuracy, precision, method"
Natural Products Chemistry & Bioactive Compounds,Natural Product Isolation,"extraction, purification, chromatography, isolation, compound"
Natural Products Chemistry & Bioactive Compounds,Secondary Metabolite Classes,"phytochemicals, alkaloids, flavonoids, terpenoids, saponins"
Natural Products Chemistry & Bioactive Compounds,Compound Structure Elucidation,"spectroscopy, nmr, mass, structure, elucidation"
Natural Products Chemistry & Bioactive Compounds,Bioactive Compound Screening,"antioxidant, antimicrobial, anticancer, bioassay, activity"
Natural Products Chemistry & Bioactive Compounds,Traditional Medicine Sources,"medicinal, plants, traditional, herbal, ethnobotany"
Natural Products Chemistry & Bioactive Compounds,Natural Product Biosynthesis,"biosynthesis, pathway, enzymes, genes, metabolism"
Natural Products Chemistry & Bioactive Compounds,Natural Products in Drug Discovery,"drug, discovery, lead, optimization, pharmacology"
"Metabolomics, Biomarkers & Clinical Chemistry",Targeted Metabolite Profiling,"metabolite, profiling, quantification, mass, spectrometry"
"Metabolomics, Biomarkers & Clinical Chemistry",NMR-Based Metabolite Identification,"nmr, spectroscopy, biofluid, analysis, identification"
"Metabolomics, Biomarkers & Clinical Chemistry",Biomarker Discovery and Validation,"biomarker, discovery, diagnosis, prognosis, validation"
"Metabolomics, Biomarkers & Clinical Chemistry",Clinical Chemistry Quality,"clinical, testing, assays, reference, quality"
"Metabolomics, Biomarkers & Clinical Chemistry",Metabolomics Data Analysis,"data, preprocessing, statistics, modeling, multivariate"
"Metabolomics, Biomarkers & Clinical Chemistry",Metabolic Disease Mechanisms,"disease, metabolic, pathways, mechanism, perturbation"
"Metabolomics, Biomarkers & Clinical Chemistry",Biological Sample Preparation,"urine, plasma, tissue, sample, preparation"
Method Development in Pharmaceutical Analysis,HPLC Method Validation,"hplc, chromatography, validation, separation, quantitative"
Method Development in Pharmaceutical Analysis,Spectroscopic Analysis Techniques,"spectroscopy, uv-vis, mass, identification, detection"
Method Development in Pharmaceutical Analysis,Impurity and Stability Testing,"impurity, degradation, stability, stress, monitoring"
Method Development in Pharmaceutical Analysis,LC-MS/MS Bioanalysis,"bioanalysis, plasma, lc-ms/ms, pharmacokinetics, drug"
Method Development in Pharmaceutical Analysis,Capillary Electrophoresis Development,"capillary, electrophoresis, separation, chiral, ce"
Method Development in Pharmaceutical Analysis,Green Analytical Chemistry,"green, microextraction, solvent, sustainable, miniaturization"
Method Development in Pharmaceutical Analysis,Electrochemical Assay Development,"titration, potentiometry, voltammetry, electrochemical, sensors"
Epigenetic RNA Modifications (m6A) & Immune Regulation,m6A RNA Methylation Dynamics,"m6a, methylation, mrna, regulator, epigenetic"
Epigenetic RNA Modifications (m6A) & Immune Regulation,m6A in Autoimmune Diseases,"autoimmune, disease, inflammation, pathogenesis, therapy"
Epigenetic RNA Modifications (m6A) & Immune Regulation,m6A Writer/Reader/Eraser Enzymes,"mettl3, writer, demethylase, reader, complex"
Epigenetic RNA Modifications (m6A) & Immune Regulation,m6A in Adaptive Immunity,"t-cell, b-cell, macrophage, dendritic, lymphocyte"
Epigenetic RNA Modifications (m6A) & Immune Regulation,m6A and Gene Expression,"gene, expression, stability, translation, rna"
Epigenetic RNA Modifications (m6A) & Immune Regulation,m6A and Cancer Immunity,"cancer, immunity, tumor, microenvironment, immunotherapy"
Immunogenetics & Cardiometabolic Disease Risk,Genetic Risk Loci Identification,"gwas, snps, association, genetics, risk"
Immunogenetics & Cardiometabolic Disease Risk,Immune-Metabolic Crosstalk,"inflammation, cytokines, immunity, atherosclerosis, metabolism"
Immunogenetics & Cardiometabolic Disease Risk,HLA and Autoimmune Risk,"hla, mhc, autoimmunity, t-cell, antigen"
Immunogenetics & Cardiometabolic Disease Risk,Epigenetic Regulation of Disease,"epigenetics, methylation, histone, regulation, environment"
Immunogenetics & Cardiometabolic Disease Risk,Genetic Basis of Dyslipidemia,"lipids, cholesterol, triglycerides, dyslipidemia, genes"
Immunogenetics & Cardiometabolic Disease Risk,Genetics of Type 2 Diabetes,"diabetes, insulin, resistance, glucose, t2d"
Immunogenetics & Cardiometabolic Disease Risk,Microbiome-Immune-Metabolic Axis,"microbiota, gut, microbiome, immune, metabolic"
Health Economics & Epidemiology,Economic Evaluation Methods,"cost, effectiveness, utility, cba, minimization"
Health Economics & Epidemiology,Key Epidemiological Measures,"incidence, prevalence, mortality, morbidity, rate"
Health Economics & Epidemiology,Health Policy & Finance,"policy, health, insurance, spending, access"
Health Economics & Epidemiology,Health Economic Modeling,"modeling, simulation, markov, cohort, decision"
Health Economics & Epidemiology,Risk & Association Analysis,"risk, ratio, exposure, outcome, association"
Health Economics & Epidemiology,Burden of Disease,"disease, burden, qaly, daly, outcomes"
Health Economics & Epidemiology,Health Promotion Strategies,"prevention, promotion, intervention, behavior, public"
Neurodegenerative Diseases & Neurological Disorders,Alzheimer's Disease Pathology,"dementia, amyloid, tau, plaques, atrophy"
Neurodegenerative Diseases & Neurological Disorders,Parkinson's Disease Movement,"dopamine, tremor, bradykinesia, levodopa, synuclein"
Neurodegenerative Diseases & Neurological Disorders,Amyotrophic Lateral Sclerosis Mechanisms,"motor, neuron, sclerosis, degeneration, cortex"
Neurodegenerative Diseases & Neurological Disorders,Neurological Disease Biomarkers,"biomarker, fluid, imaging, diagnosis, progression"
Neurodegenerative Diseases & Neurological Disorders,Neuroinflammation and Glial Cells,"neuroinflammation, microglia, astrocyte, immune, cytokine"
Neurodegenerative Diseases & Neurological Disorders,Neuronal Degeneration Processes,"axonal, transport, synaptic, misfolding, proteinopathy"
Mitochondrial Function & Oxidative Stress,Oxidative Stress Biomarkers,"lipid, peroxidation, biomarkers, protein, oxidation"
Mitochondrial Function & Oxidative Stress,Mitochondria & Cell Death,"apoptosis, necrosis, cell, death, signaling"
Neuroprotective Therapeutics & Molecular Pathways,Oxidative Stress & Antioxidant Therapy,"oxidative, stress, antioxidants, radicals, scavenging"
Neuroprotective Therapeutics & Molecular Pathways,Molecular Neuroinflammation Pathways,"neuroinflammation, microglia, cytokines, astrocytes, gliosis"
Neuroprotective Therapeutics & Molecular Pathways,Apoptotic and Survival Pathways,"apoptosis, survival, caspases, bcl-2, mitochondria"
Neuroprotective Therapeutics & Molecular Pathways,Neurotrophic Factor Signaling,"neurotrophic, bdnf, gdnf, survival, receptors"
Neuroprotective Therapeutics & Molecular Pathways,Protein Misfolding & Aggregation,"protein, misfolding, aggregation, tau, amyloid"
Neuroprotective Therapeutics & Molecular Pathways,Glutamatergic Excitotoxicity Mechanisms,"glutamate, excitotoxicity, nmda, receptor, antagonists"
Neuroprotective Therapeutics & Molecular Pathways,Ischemic Neuroprotection Strategies,"ischemia, reperfusion, stroke, hypoxia, infarction"
Neuroinflammation,Microglial Activation in CNS,"microglia, activation, neurotoxicity, immune, cns"
Neuroinflammation,Inflammatory Cytokine Signaling,"cytokines, chemokines, signaling, inflammation, mediators"
Neuroinflammation,Reactive Astrogliosis and Support,"astrocytes, gliosis, reactive, neuronal, support"
Neuroinflammation,Blood-Brain Barrier Integrity,"blood, brain, barrier, permeability, disruption"
Neuroinflammation,Neuroinflammation in Disease,"alzheimer's, parkinson's, disease, neurodegeneration, ms"
Neuroinflammation,Neuroinflammation Therapeutic Strategies,"treatment, therapeutic, targets, drug, anti-inflammatory"
Neuroinflammation,Oxidative Stress and Damage,"oxidative, stress, mitochondria, damage, ros"
Molecularly Imprinted Polymers (MIPs) & Biomimetic Sensors,Molecular Imprinting Technology,"molecular, imprinting, template, polymerization, selectivity"
Molecularly Imprinted Polymers (MIPs) & Biomimetic Sensors,Biomimetic Sensor Design,"sensor, biomimetic, recognition, detection, analyte"
Molecularly Imprinted Polymers (MIPs) & Biomimetic Sensors,MIPs for Drug Delivery,"drug, delivery, therapeutics, release, targeting"
Molecularly Imprinted Polymers (MIPs) & Biomimetic Sensors,Biomolecule Recognition,"protein, peptide, binding, biomolecules, affinity"
Molecularly Imprinted Polymers (MIPs) & Biomimetic Sensors,Advanced Sensor Readouts,"biosensing, electrochemical, optical, acoustic, transducer"
Molecularly Imprinted Polymers (MIPs) & Biomimetic Sensors,Surface Modification Techniques,"surface, nanomaterials, modification, microcontact, immobilization"
Molecularly Imprinted Polymers (MIPs) & Biomimetic Sensors,Environmental Analysis using MIPs,"environmental, contaminants, pollutants, remediation, extraction"
Analytical Chemistry & Separation Science,Chromatographic Separation Techniques,"chromatography, liquid, gas, mass, separation"
Analytical Chemistry & Separation Science,Spectroscopic Analysis Methods,"spectroscopy, absorption, emission, atomic, molecular"
Analytical Chemistry & Separation Science,Electrophoretic Separation,"electrophoresis, capillary, gel, separation, biomolecules"
Analytical Chemistry & Separation Science,Analytical Sample Preparation,"sample, preparation, extraction, digestion, clean-up"
Analytical Chemistry & Separation Science,Analytical Detection & LOD,"detection, quantification, limit, linearity, accuracy"
Analytical Chemistry & Separation Science,Mass Spectrometry Analysis,"mass, spectrometry, ionization, fragments, identification"
Analytical Chemistry & Separation Science,Analytical Method Validation,"validation, method, calibration, precision, robustness"
